text,old_entities,new_entities,is_updated
Hope is a powerful feeling. Respect from the highest elected office in the land has been left wanting.,,,FALSE
"Albanese, in his speech on Saturday, talked of more than 200 years of broken promises and betrayals, failures and false starts.",Albanese | PERSON_NAME; Saturday | DATE,Albanese | PERSON_NAME; Saturday | DATE,FALSE
"We have heard over and over from those fresh to the Opposition benches that the referendum lacks ""detail"" . And so the Prime Minister came to Garma seeking to partly answer that criticism and build momentum for a cause generations in the making.",Opposition | ORGANIZATION_NAME; Garma | MISCELLANEOUS,Garma | MISCELLANEOUS,TRUE
"The starting point, he says, is a recommendation to add three sentences to the Constitution:",,,FALSE
"1. There shall be a body, to be called the Aboriginal and Torres Strait Islander Voice.",Aboriginal and Torres Strait Islander Voice | ORGANIZATION_NAME,Aboriginal | NATIONALITY_RELIGION_POLITICAL; Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL,TRUE
2. The Aboriginal and Torres Strait Islander Voice may make representations to Parliament and the Executive Government on matters relating to Aboriginal and Torres Strait Islander Peoples.,Aboriginal and Torres Strait Islander Voice | ORGANIZATION_NAME; Parliament | ORGANIZATION_NAME; Executive Government | ORGANIZATION_NAME; Aboriginal and Torres Strait Islander Peoples | NATIONALITY_RELIGION_POLITICAL,Aboriginal | NATIONALITY_RELIGION_POLITICAL; Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL; Parliament | ORGANIZATION_NAME; Executive Government | ORGANIZATION_NAME,TRUE
"3. The Parliament shall, subject to this Constitution, have power to make laws with respect to the composition, functions, powers and procedures of the Aboriginal and Torres Strait Islander Voice.",Parliament | ORGANIZATION_NAME; Aboriginal and Torres Strait Islander Voice | ORGANIZATION_NAME,Parliament | ORGANIZATION_NAME; Aboriginal | NATIONALITY_RELIGION_POLITICAL; Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL,TRUE
Simple.,,,FALSE
He argues we should consider asking our fellow Australians something as simple as in a referendum:,Australians | NATIONALITY_RELIGION_POLITICAL,Australians | NATIONALITY_RELIGION_POLITICAL,FALSE
"""Do you support an alteration to the Constitution that establishes an Aboriginal and Torres Strait Islander Voice?""",Aboriginal and Torres Strait Islander Voice | ORGANIZATION_NAME,Aboriginal | NATIONALITY_RELIGION_POLITICAL; Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL,TRUE
"He calls it a straightforward proposition, a simple principle. He says it is a question from the heart. He says there could be negotiation now about those words.",,,FALSE
Overcoming division,,,FALSE
"Supporters of the Uluru Statement have been agitating for a referendum date. On that, the Prime Minister has not delivered — yet.",Uluru Statement | MISCELLANEOUS,Uluru Statement | MISCELLANEOUS,FALSE
"The government is still hoping to receive bipartisanship on this, although there is growing anxiety and concern that perhaps the Peter Dutton Opposition may not deliver it. There is division that appears to be solidifying.",Peter Dutton Opposition | ORGANIZATION_NAME,Peter Dutton Opposition | ORGANIZATION_NAME,FALSE
"The Prime Minister invited the new shadow minister for Indigenous Australians Julian Leeser on the trip with him. The Garma Festival also invited the Opposition Leader, but he did not take up the invitation. Leeser is a well-known supporter of the change, but to succeed he needs to bring his partyroom with him. That task is enormous.",Indigenous Australians | NATIONALITY_RELIGION_POLITICAL; Julian Leeser | PERSON_NAME; Garma Festival | MISCELLANEOUS; Opposition | ORGANIZATION_NAME,Indigenous Australians | NATIONALITY_RELIGION_POLITICAL; Julian Leeser | PERSON_NAME; Garma Festival | MISCELLANEOUS,TRUE
"The Prime Minister says he hopes the opposition and the crossbench will support the proposal, join the campaign for a ' yes' vote and bring their supporters to the cause.",,,FALSE
"""We will seek out every ally and every advocate from 'every point under the southern sky' ,"" he says.",,,FALSE
The truth is that without bipartisanship the risk of failure at the ballot box becomes more real. And failure on a question as fundamental as this would be dangerous for a country that has struggled to right the wrongs of its past. What message would that send about how we regard First Nations people? Labor Ministers also worry that a ' no' vote would shame our country around the world.,First Nations | NATIONALITY_RELIGION_POLITICAL,First Nations | NATIONALITY_RELIGION_POLITICAL,FALSE
So how can we contemplate the tyranny of voicelessness? How do we even consider the pain of fighting for survival in a nation that has been so unwilling to listen?,,,FALSE
The storm clouds may be lifting,,,FALSE
The road to change is never easy but for the first time in many years the pathway seems to be clearing — the storm clouds may be lifting.,,,FALSE
"The Prime Minister says he recognises the risks of failure but ""we choose not to dwell on them because we see this referendum as a magnificent opportunity for Australia"" .",Australia | LOCATION,Australia | LOCATION,FALSE
"Describing it as a long-overdue embrace of truth and justice and decency and respect for First Nations people, he has used the power of his office and political capital to spearhead this change.",First Nations | NATIONALITY_RELIGION_POLITICAL,First Nations | NATIONALITY_RELIGION_POLITICAL,FALSE
"In years to come, Albanese's speech to Garma will be another of the key moments reflected on and taught in our long march towards reconciliation and justice.",Albanese | PERSON_NAME; Garma | MISCELLANEOUS,Albanese | PERSON_NAME; Garma | MISCELLANEOUS,FALSE
"Just like Paul Keating's Redfern speech — quoted in Albanese's speech at Garma — and Kevin Rudd's apology to the Stolen Generations, the words will echo through the classrooms of Australia.",Paul Keating | PERSON_NAME; Redfern | LOCATION; Albanese | PERSON_NAME; Garma | MISCELLANEOUS; Kevin Rudd | PERSON_NAME; Stolen Generations | MISCELLANEOUS; Australia | LOCATION,Paul Keating | PERSON_NAME; Redfern speech | MISCELLANEOUS; Albanese | PERSON_NAME; Garma | MISCELLANEOUS; Kevin Rudd | PERSON_NAME; Australia | LOCATION,TRUE
"An Aboriginal language only spoken by a handful of people in the Northern Territory has become the inspiration for a new artificial intelligence system, potentially helping people better communicate with machines.",Aboriginal | NATIONALITY_RELIGION_POLITICAL; Northern Territory | LOCATION,Aboriginal | NATIONALITY_RELIGION_POLITICAL; Northern Territory | LOCATION,FALSE
Jingulu is considered an endangered language that's traditionally spoken in the Northern Territory's Barkly region.,Jingulu | NATIONALITY_RELIGION_POLITICAL; Northern Territory | LOCATION; Barkly | LOCATION,Jingulu | NATIONALITY_RELIGION_POLITICAL; Northern Territory | LOCATION; Barkly | LOCATION,FALSE
"A study, recently published in academic journal Frontiers in Physics, suggests it has special characteristics that can easily be translated into commands for artificial Intelligence (AI) swarm systems.",Frontiers in Physics | MISCELLANEOUS,Frontiers in Physics | BRAND,TRUE
"""Maybe one of the most powerful things with Jingulu [is] that it gives us the simplicity and flexibility which we can apply in lots of different applications,"" lead researcher at University of New South Wales Canberra, Hussein Abbass, said.",Jingulu | NATIONALITY_RELIGION_POLITICAL; University of New South Wales Canberra | ORGANIZATION_NAME; Hussein Abbass | PERSON_NAME,Jingulu | NATIONALITY_RELIGION_POLITICAL; University of New South Wales Canberra | ORGANIZATION_NAME; Hussein Abbass | PERSON_NAME,FALSE
AI swarm systems are used in machines to help them to collaborate with humans and undertake complex tasks than humans command them to do.,,,FALSE
"Dr Abbass said he stumbled on the Jingulu language by accident, while developing a new communication system.",Abbass | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL,Abbass | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""When I started looking at the abstract, it did n't take much time to click in my mind about how suitable it is, for the work I do on artificial intelligence and human AI teaming,"" he said.",,,FALSE
Language easily translatable into AI commands,,,FALSE
"Dr Abbass said it was normal for AI researchers to draw on different forms of communication for their work, including other human languages, body language and even music.",Abbass | PERSON_NAME,Abbass | PERSON_NAME,FALSE
"However, he said the Jingulu language was especially well-suited to AI because it had only three verbs — 'go', come' and ' do' — which meant it could be easily translated into commands.",Jingulu | NATIONALITY_RELIGION_POLITICAL,Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""The specific AI model that we are working on relies on the very simple concepts of attraction and repulsion, in physics.... and this very simple concept fits underneath the mathematics of our AI,"" he said.",,,FALSE
""" We can apply the 'go' and' come 'to the attraction and repulsion concepts, in the mathematical model that we have, and the' do', to when there's no movement in a space.",,,FALSE
"""The structure of Jingulu matches extremely nicely to the mathematics, and that's what made it really fascinating, for what we do.""",Jingulu | NATIONALITY_RELIGION_POLITICAL,Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""I have not encountered another language that has all of these advantages simultaneously, and in alignment with AI.""",,,FALSE
'Unique' elements of language beneficial for AI,,,FALSE
Study co-author and University of Canberra professor in linguistics Eleni Petraki said Jingulu's flexible sentence structure was also an advantage.,University of Canberra | ORGANIZATION_NAME; Eleni Petraki | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL,University of Canberra | ORGANIZATION_NAME; Eleni Petraki | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""[In most languages] words appear in a specific order.... in Jingulu however you can split those elements,"" she said.",Jingulu | NATIONALITY_RELIGION_POLITICAL,Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"With only several, elderly fluent speakers remaining, Jingulu is considered an endangered language, according to Rachel Nordlinger, a linguistics professor at the University of Melbourne and director of the Research Unit for Indigenous Language.",Jingulu | NATIONALITY_RELIGION_POLITICAL; Rachel Nordlinger | PERSON_NAME; University of Melbourne | ORGANIZATION_NAME; Research Unit for Indigenous Language | ORGANIZATION_NAME,Jingulu | NATIONALITY_RELIGION_POLITICAL; Rachel Nordlinger | PERSON_NAME; University of Melbourne | ORGANIZATION_NAME; Research Unit for Indigenous Language | ORGANIZATION_NAME,FALSE
"She said while there were related Aboriginal languages with similar features, Jingulu had some unique characteristics.",Aboriginal | NATIONALITY_RELIGION_POLITICAL; Jingulu | NATIONALITY_RELIGION_POLITICAL,Aboriginal | NATIONALITY_RELIGION_POLITICAL; Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""What's different about Jingulu is that other languages might have small numbers of verbs, but there might be 20 of them or 30 of them, whereas Jingulu has only three,"" she said.",Jingulu | NATIONALITY_RELIGION_POLITICAL,Jingulu | NATIONALITY_RELIGION_POLITICAL,FALSE
"""The structure's similar, but it's different in having such a small number of verbs, that combine with other words.""",,,FALSE
"The new artificial intelligence system created with Jingulu in mind, JSwarm, was initially developed to help farmers herd sheep, as a language which would allow an app used by farmers to communicate with unmanned aerial vehicles performing the task.",Jingulu | NATIONALITY_RELIGION_POLITICAL; JSwarm | MISCELLANEOUS,Jingulu | NATIONALITY_RELIGION_POLITICAL; JSwarm | BRAND,TRUE
"It has not yet been implemented, with its developers still working to secure funding.",,,FALSE
"However Dr Abbass said the system could potentially be used beyond agriculture in future, including in areas such as medicine to defence.",Abbass | PERSON_NAME,Abbass | PERSON_NAME,FALSE
"""[There are] almost an infinite number of applications,"" he said.",,,FALSE
"Dr Abbass said the AI system was the first instance he was aware of in which an Australian Indigenous language had been used ""at the interface of human and AI communication"" .",Abbass | PERSON_NAME; Australian | NATIONALITY_RELIGION_POLITICAL,Abbass | PERSON_NAME; Australian | NATIONALITY_RELIGION_POLITICAL,FALSE
"""You never know where good ideas will come from, and without keeping our minds open, we wo n't be able to innovate,"" he said.",,,FALSE
"Dr Nordlinger said researchers' use of Jingulu to develop the system was an example of the growing level of interest in Indigenous languages in Australia, both from Indigenous communities themselves and the wider Australian public.",Nordlinger | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION; Australian | NATIONALITY_RELIGION_POLITICAL,Nordlinger | PERSON_NAME; Jingulu | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION; Indigenous | NATIONALITY_RELIGION_POLITICAL; Australian | NATIONALITY_RELIGION_POLITICAL,TRUE
"""People are becoming more aware of how fascinating these languages are, but also how endangered they are, and therefore how precious they are,"" she said.",,,FALSE
""" I think [this study] is a sign of the growing interest for sure, and it can be a real positive.",,,FALSE
"""It can only be a good thing to have more attention and more appreciation of these languages.""",,,FALSE
"The ACT's first independent senator, David Pocock, has hit out at former federal governments for “neglecting” and “ignoring” his home city in a maiden speech centred around inclusion, justice for the ACT and action on climate change.",ACT | ORGANIZATION_NAME; David Pocock | PERSON_NAME,ACT | ORGANIZATION_NAME; David Pocock | PERSON_NAME,FALSE
"The Australian rugby legend said he would be focused on achieving “practical outcomes” for the people of the ACT, including “pushing the Commonwealth to forgive our historic housing debt”.",Australian | NATIONALITY_RELIGION_POLITICAL; ACT | ORGANIZATION_NAME; Commonwealth | ORGANIZATION_NAME,Australian | NATIONALITY_RELIGION_POLITICAL; ACT | ORGANIZATION_NAME; Commonwealth | ORGANIZATION_NAME,FALSE
"“It's been done for Tasmania, it's been done for South Australia,” he said.",Tasmania | LOCATION; South Australia | LOCATION,Tasmania | LOCATION; South Australia | LOCATION,FALSE
"“It's time to do it for us. For too long we have been neglected, ridiculed, looked down on or flat out ignored.”",,,FALSE
"Calls for the territory's historic housing, land and building debts to be wiped were sounded by the senator during his campaign – Mr Pocock hoping the Albanese government will consider forgiving the $100 million debt.",Pocock | PERSON_NAME; Albanese | NATIONALITY_RELIGION_POLITICAL; $100 million | MONEY_CURRENCY,Pocock | PERSON_NAME; Albanese | NATIONALITY_RELIGION_POLITICAL; $100 million | MONEY_CURRENCY,FALSE
"nclusion and accessibility for Australians living with disabilities was another key focus for the independent, who criticised the government for refusing to allow an Auslan speaker to translate his speech on the floor of parliament.",Australians | NATIONALITY_RELIGION_POLITICAL; Auslan | NATIONALITY_RELIGION_POLITICAL,Australians | NATIONALITY_RELIGION_POLITICAL; Auslan | NATIONALITY_RELIGION_POLITICAL; parliament | FACILITY,TRUE
"“When I was asked by people in our community to have this First Speech live translated into Auslan, I didn ' t hesitate to say yes,” he said.",Auslan | NATIONALITY_RELIGION_POLITICAL,Auslan | NATIONALITY_RELIGION_POLITICAL,FALSE
“I understand that the difference between Mandy being there in the broadcasting studio and here on the floor of the chamber is the difference between accessibility and inclusion.,Mandy | PERSON_NAME,Mandy | PERSON_NAME,FALSE
"“Today we have achieved the former but not the latter. In future, I hope we can achieve both.”",,,FALSE
"Mr Pocock also zeroed in on climate change, claiming the “6th mass extinction event is underway” and that the “systems that sustain life on Earth are at the brink of collapse”.",Pocock | PERSON_NAME; Earth | LOCATION,Pocock | PERSON_NAME; 6th mass extinction event | MISCELLANEOUS,TRUE
"“The last one, 66 million years ago, was due to a massive asteroid. This time we ' re causing it,” he said.",,66 million years ago | DATE,TRUE
"The former Wallabies star, who decided not to have children in a bid to save the planet, said there was “no challenge greater than facing up to the climate and biodiversity crises” and declared we have the tools to “halt this catastrophic decline and begin to reverse it”.",Wallabies | ORGANIZATION_NAME,Wallabies | ORGANIZATION_NAME,FALSE
"“Thanks to ancient indigenous wisdom and the latest in science and technology, we have never known more about these life support systems, what we are doing to them, and what can and must be done,” he said.",,,FALSE
"Enshrining in our constitution a First Nations Voice to parliament was next on the cards for the senator, who called the Ulu ṟ u Statement from the Heart “a generous offer to all Australians”.",First Nations Voice | ORGANIZATION_NAME; Ulu ṟ u Statement from the Heart | MISCELLANEOUS; Australians | NATIONALITY_RELIGION_POLITICAL,First Nations | NATIONALITY_RELIGION_POLITICAL; parliament | ORGANIZATION_NAME; Ulu ṟ u Statement | MISCELLANEOUS; Australians | NATIONALITY_RELIGION_POLITICAL,TRUE
"The independent recognised Aunty Pat Anderson, who watched the speech live, receiving a round of applause for her work on the Voice to parliament.",Pat Anderson | PERSON_NAME; Voice | ORGANIZATION_NAME,Pat Anderson | PERSON_NAME; parliament | ORGANIZATION_NAME,TRUE
"Race and a commitment to equality have continued to be major issues for Mr Pocock, with the senator advocating for a “more inclusive society that celebrates difference and diversity”.",Pocock | PERSON_NAME,Pocock | PERSON_NAME,FALSE
"“I 'm obviously white – moon tan white, as my former teammates liked to tell me over the years – and I don' t want to conflate my experiences of migration with the many migrants whose experience is shaped by the colour of their skin,” he said.",,white | NATIONALITY_RELIGION_POLITICAL,TRUE
"The former farm boy, who grew up in Gweru, Zimbabwe said his upbringing instilled “the importance of hard work and … a love of nature and fascination with the natural world.”","Gweru, Zimbabwe | LOCATION","Gweru, Zimbabwe | LOCATION",FALSE
"“Our society cannot be sustained without the people who spend their life on the land, whose blood, sweat and tears and generations of knowledge feed and help clothe us.”",,,FALSE
"Throughout his address, Mr Pocock sought to repaint the picture of his home city, saying Canberra is “so much more than the sum of the decisions made in this building” and deserved to be afforded the same rights as the states.",Pocock | PERSON_NAME; Canberra | LOCATION,Pocock | PERSON_NAME; Canberra | LOCATION,FALSE
"“Yes, we are a city of roundabouts and politicians, but we ' re also much more than that,” he said.",,,FALSE
"“We ' re a growing city with a strong community spirit, built on a passion for lifelong learning, good public policy, a connection to our environment, the arts, sport, defence, science and technology.”",,,FALSE
"“Here in the ACT, we have been denied rights held by the states,” he said.",ACT | ORGANIZATION_NAME,ACT | ORGANIZATION_NAME,FALSE
"As legislation to restore rights for the Territory is introduced into the House of Representatives, the newbie politician said it was time for the “bush capital” to “restore the right of the territories to make decisions for themselves.”",House of Representatives | ORGANIZATION_NAME,House of Representatives | ORGANIZATION_NAME; bush capital | LOCATION,TRUE
"“To ensure that our Legislative Assembly here in the ACT gets to make decisions about the future of Canberrans, not MPs from around the country whose own constituents already enjoy these same rights,” he said.",Legislative Assembly | ORGANIZATION_NAME; ACT | ORGANIZATION_NAME; Canberrans | NATIONALITY_RELIGION_POLITICAL,Legislative Assembly | ORGANIZATION_NAME; ACT | ORGANIZATION_NAME; Canberrans | NATIONALITY_RELIGION_POLITICAL,FALSE
"“This is not the first time the parliament has tried to repeal the Andrews Bill, but I hope it will be the last.",Andrews Bill | MISCELLANEOUS,parliament | ORGANIZATION_NAME; Andrews Bill | MISCELLANEOUS,TRUE
“I will work with everyone in this senate chamber to support a vote giving us equality with the states.”,,,FALSE
A now-infamous climate protester who allegedly brought Sydney to a standstill by locking her head to a steering wheel to block the Harbour Bridge tunnel has been granted a reprieve by the court.,Sydney | LOCATION; Harbour Bridge | FACILITY,Sydney | LOCATION; Harbour Bridge | FACILITY,FALSE
"Mali Poppy Cooper, 22, attracted the nation's attention on June 27 when she allegedly blocked the entrance to the Sydney Harbour Bridge tunnel and locked herself to the steering wheel of the parked car.",Mali Poppy Cooper | PERSON_NAME; June 27 | DATE; Sydney Harbour Bridge | FACILITY,Mali Poppy Cooper | PERSON_NAME; June 27 | DATE; Sydney Harbour Bridge tunnel | FACILITY,TRUE
"The Lismore resident live-streamed her protest on Facebook, revealing the bike lock wrapped around her neck as traffic banked up behind her for several kilometres.",Lismore | LOCATION; Facebook | BRAND,Lismore | LOCATION; Facebook | BRAND,FALSE
Ms Cooper was arrested and charged with entering the Sydney Harbour Bridge and disrupting vehicles and obstructing the pedestrian path.,Cooper | PERSON_NAME; Sydney Harbour Bridge | FACILITY,Cooper | PERSON_NAME; Sydney Harbour Bridge | FACILITY,FALSE
"On Tuesday, Sydney Downing Centre Court was told the young climate activist was held for 3 0 hours at the police station before being released with “very arduous bail conditions”.",Tuesday | DATE; Sydney Downing Centre Court | ORGANIZATION_NAME,Tuesday | DATE; Sydney Downing Centre Court | ORGANIZATION_NAME,FALSE
"Her lawyer Mark Davis told the court the conditions ban Ms Cooper from entering Sydney, place extensive restrictions on the use of her phone, require her to contact police three times a week and impose an evening curfew.",Mark Davis | PERSON_NAME; Cooper | PERSON_NAME; Sydney | LOCATION,Mark Davis | PERSON_NAME; Cooper | PERSON_NAME; Sydney | LOCATION,FALSE
"Under the curfew condition, Ms Cooper is required to remain at home during set evening hours and must appear at the door when police perform a check.",Cooper | PERSON_NAME,Cooper | PERSON_NAME,FALSE
Mr Davis said the imposition of a curfew made no sense given the alleged offence occurred in the daytime and his client had no history of night-time offences.,Davis | PERSON_NAME,Davis | PERSON_NAME,FALSE
"He told the court Ms Cooper was looking for accommodation in the flood-ravaged town of Lismore, and the curfew was making it difficult for her to find a suitable home.",Cooper | PERSON_NAME; Lismore | LOCATION,Cooper | PERSON_NAME; Lismore | LOCATION,FALSE
"“There's nowhere in Australia where it's more difficult to find accommodation at the moment, and Ms Cooper has the additional burden of the curfew,” Mr Davis said.",Australia | LOCATION; Cooper | PERSON_NAME; Davis | PERSON_NAME,Australia | LOCATION; Cooper | PERSON_NAME; Davis | PERSON_NAME,FALSE
The police prosecutor argued the bail conditions were “warranted given the actions of the accused” and told the court Ms Cooper had breached the conditions the day after being granted bail.,Cooper | PERSON_NAME,Cooper | PERSON_NAME,FALSE
The court was told the 22-year-old was arrested on June 29 for remaining in Sydney after being ordered to return to Lismore when she was released by police.,June 29 | DATE; Sydney | LOCATION; Lismore | LOCATION,June 29 | DATE; Sydney | LOCATION; Lismore | LOCATION,FALSE
Mr Davis told the court his client was arrested when she was “on the way” to Lismore after remaining in Sydney for a television interview.,Davis | PERSON_NAME; Lismore | LOCATION; Sydney | LOCATION,Davis | PERSON_NAME; Lismore | LOCATION; Sydney | LOCATION,FALSE
"“She appeared in a TV program and that did appear to anger police,” he said.",,,FALSE
“It was a most frivolous breach and a most frivolous charge.”,,,FALSE
"Magistrate Daniel Covington said he was “grappling” with the relationship between the daytime offence, which appeared to be intended to cause “maximum disruption”, and the night-time curfew.",Daniel Covington | PERSON_NAME,Daniel Covington | PERSON_NAME,FALSE
"He ruled to delete the condition, leaving the other “fairly strict bail conditions” intact.",,,FALSE
Ms Cooper was one of 10 protesters arrested during the Blockade Australia protest on June 27. Her strict bail conditions include a lengthy list of more than 20 people with whom she is forbidden to associate.,Cooper | PERSON_NAME; Blockade Australia | ORGANIZATION_NAME; June 27 | DATE,Cooper | PERSON_NAME; Blockade Australia | ORGANIZATION_NAME; June 27 | DATE,FALSE
The court was told the young activist was likely to enter pleas on her next court appearance after the defence and prosecution agree on the facts.,,,FALSE
She will return to Sydney Downing Centre Local Court on August 16.,Sydney Downing Centre Local Court | ORGANIZATION_NAME; August 16 | DATE,Sydney Downing Centre Local Court | ORGANIZATION_NAME; August 16 | DATE,FALSE
"As a child of the 1980s, Trevor Gould grew up in awe of Jim Henson's muppets, dreaming of a day when he could join them.",1980 | DATE; Trevor Gould | PERSON_NAME; Jim Henson | PERSON_NAME,1980 | DATE; Trevor Gould | PERSON_NAME; Jim Henson | PERSON_NAME,FALSE
