text,old_entities,new_entities,is_updated
"He also pointed to normalization of relations between the Israeli regime and certain Arab states, saying such states will transfer willingly or unwillingly a “cancerous tumor” to their own countries.",Israeli | NATIONALITY_RELIGION_POLITICAL; Arab | NATIONALITY_RELIGION_POLITICAL,Israeli | NATIONALITY_RELIGION_POLITICAL; Arab | NATIONALITY_RELIGION_POLITICAL,FALSE
"“The Zionist regime's continuous aggression and attacks on Syria are a clear violation of the country's sovereignty and territorial integrity and a flagrant violation of recognized international principles and regulations,” Nasser Kanaani underscored.",Zionist | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Nasser Kanaani | PERSON_NAME,Zionist | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Nasser Kanaani | PERSON_NAME,FALSE
"The Foreign Ministry spokesman went on to voice that the international community, especially the United Nations Security Council, must fulfill its obligation to deal with the ongoing crimes and high-risk behavior of the Zionist regime.",Foreign Ministry | ORGANIZATION_NAME; United Nations Security Council | ORGANIZATION_NAME; Zionist | NATIONALITY_RELIGION_POLITICAL,Foreign Ministry | ORGANIZATION_NAME; United Nations Security Council | ORGANIZATION_NAME; Zionist | NATIONALITY_RELIGION_POLITICAL,FALSE
"“The repeated attacks of the Zionist regime on Syria are a breach of this country's sovereignty and territorial integrity and will help armed terrorists and maintain and strengthen their presence in Syria, which actually threatens the security of the region,” Kanaani remarked.",Zionist | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Kanaani | PERSON_NAME,Zionist | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Kanaani | PERSON_NAME,FALSE
He also expressed surprise and sorrow over the silence of the international organizations and human rights advocates over such illegal behaviors by the Israeli regime.,Israeli | NATIONALITY_RELIGION_POLITICAL,Israeli | NATIONALITY_RELIGION_POLITICAL,FALSE
"According to the ministry, the Israeli enemy launched an air strike from the direction of the occupied Syrian Golan, adding that Syria's air defense was able to intercept some of the incoming missiles.",Israeli | NATIONALITY_RELIGION_POLITICAL; Syrian | NATIONALITY_RELIGION_POLITICAL; Golan | LOCATION; Syria | LOCATION,Israeli | NATIONALITY_RELIGION_POLITICAL; Syrian | NATIONALITY_RELIGION_POLITICAL; Golan | LOCATION; Syria | LOCATION,FALSE
"On Friday morning, Syrian media said that Israel had hit Damascus, killing three military forces and injuring seven more.",Friday | MISCELLANEOUS; Syrian | NATIONALITY_RELIGION_POLITICAL; Israel | LOCATION; Damascus | LOCATION,Friday | DATE; Syrian | NATIONALITY_RELIGION_POLITICAL; Israel | LOCATION; Damascus | LOCATION,TRUE
The strike was the 17th of its kind by Israel against Syria since 2018.,Israel | LOCATION; Syria | LOCATION; 2018 | DATE,Israel | LOCATION; Syria | LOCATION; 2018 | DATE,FALSE
"After 2011, as Syria was engulfed in a wave of widespread, foreign-backed militancy and terrorism, Tel Aviv's attacks on the country began to increase considerably in size and regularity.",2011 | DATE; Syria | LOCATION; Tel Aviv | LOCATION,2011 | DATE; Syria | LOCATION; Tel Aviv | LOCATION,FALSE
"In response to the Israeli attack, Syria's Foreign Ministry stated that the nation reserves the right to confront persistent Israeli aggression with appropriate measures in conformity with international law and the United Nations Charter.",Israeli | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Foreign Ministry | ORGANIZATION_NAME; United Nations Charter | ORGANIZATION_NAME,Israeli | NATIONALITY_RELIGION_POLITICAL; Syria | LOCATION; Foreign Ministry | ORGANIZATION_NAME; United Nations Charter | ORGANIZATION_NAME,FALSE
"The ministry confirmed the Israeli criminal acts of aggression using missile bursts from the direction of the occupied Syrian Golan targeting some points in the vicinity of Damascus in two identical letters to the UN secretary general and the president of the Security Council, according to Syria's official news agency SANA.",Israeli | NATIONALITY_RELIGION_POLITICAL; Syrian | NATIONALITY_RELIGION_POLITICAL; Golan | LOCATION; Damascus | LOCATION; UN | ORGANIZATION_NAME; Security Council | ORGANIZATION_NAME; Syria | LOCATION; SANA | ORGANIZATION_NAME,Israeli | NATIONALITY_RELIGION_POLITICAL; Syrian | NATIONALITY_RELIGION_POLITICAL; Golan | LOCATION; Damascus | LOCATION; UN | ORGANIZATION_NAME; Security Council | ORGANIZATION_NAME; Syria | LOCATION; SANA | ORGANIZATION_NAME,FALSE
The ministry pleaded on the UN and Security Council to uphold their obligations under the UN Charter and denounce such kinds of Israeli aggression.,UN | ORGANIZATION_NAME; Security Council | ORGANIZATION_NAME; UN Charter | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL,UN | ORGANIZATION_NAME; Security Council | ORGANIZATION_NAME; UN Charter | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL,FALSE
It asserted that the Security Council's failure to take the necessary steps to stop and denounce the Israeli regime's repeated attacks demonstrates the international body's inability to accept responsibility for its actions and its failure to carry out even the bare minimum of its obligations in maintaining peace and security in the area and around the globe.,Security Council | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL,Security Council | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL,FALSE
"It emphasized that the U. S. aggression and violations of international law, the occupation of northeast Syria, the looting of its oil, and the provision of weapons to the terrorists hired by Washington to obstruct a political settlement and the restoration of security and stability to Syria cannot be separated from the Israeli attacks.",U. S. | LOCATION; northeast Syria | LOCATION; Washington | LOCATION; Syria | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL,U. S. | LOCATION; northeast Syria | LOCATION; Washington | LOCATION; Syria | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL,FALSE
"The strikes, according to the ministry, are carried out in direct support of the armed terrorist organizations that are committing atrocities across Syria.",Syria | LOCATION,Syria | LOCATION,FALSE
"The Israeli regime, together with the U. S. and other Western and regional partners, has been a staunch sponsor of the terror organizations acting against the Damascus government.",Israeli | NATIONALITY_RELIGION_POLITICAL; U. S. | LOCATION; Western | LOCATION; Damascus | LOCATION,Israeli | NATIONALITY_RELIGION_POLITICAL; U. S. | LOCATION; Western | NATIONALITY_RELIGION_POLITICAL; Damascus | LOCATION,TRUE
Oman navy chief hails Iran's indigenous defense technology,Oman | LOCATION; Iran | LOCATION,Oman | LOCATION; Iran | LOCATION,FALSE
"The CRNO chief made the remarks in a meeting with Alireza Tangsiri, the commander of the IRGC Navy, on Friday.",CRNO | ORGANIZATION_NAME; Alireza Tangsiri | PERSON_NAME; IRGC Navy | ORGANIZATION_NAME; Friday | DATE,CRNO | ORGANIZATION_NAME; Alireza Tangsiri | PERSON_NAME; IRGC Navy | ORGANIZATION_NAME; Friday | DATE,FALSE
"What Iran has achieved in the field of defense accomplishments is a source of pride and honor for both countries, and Muscat hopes to be able to use the indigenous achievements of Tehran in the field of defense, Admiral al-Rahbi remarked.",Iran | LOCATION; Muscat | LOCATION; Tehran | LOCATION; al-Rahbi | PERSON_NAME,Iran | LOCATION; Muscat | LOCATION; Tehran | LOCATION; al-Rahbi | PERSON_NAME,FALSE
Region's security is provided by regional countries,,,FALSE
"Rear Admiral Saif Bin Nasser also emphasized that the foreigners in the region are only concerned about their own interests, noting that the security of the region is primarily provided by the countries of the region.",Saif Bin Nasser | PERSON_NAME,Saif Bin Nasser | PERSON_NAME,FALSE
"Admiral Al Rahbi also said that many countries are greedily looking to have access to this region's resources, and there is no doubt that increasing the level of cooperation to strengthen security and stability in the region will limit the greed of foreigners.",Al Rahbi | PERSON_NAME,Al Rahbi | PERSON_NAME,FALSE
"Referring to the joint naval exercises between Iran and Oman, the commander of the Omani Navy added, “We are ready to cooperate with Iran in other areas of maritime security, including the transfer of joint experiences and naval exercises.”",Iran | LOCATION; Oman | LOCATION; Omani Navy | ORGANIZATION_NAME,Iran | LOCATION; Oman | LOCATION; Omani Navy | ORGANIZATION_NAME,FALSE
IRGC Navy chief says presence of foreigners will only bring insecurity,IRGC Navy | ORGANIZATION_NAME,IRGC Navy | ORGANIZATION_NAME,FALSE
The commander of the IRGC Navy also said an entrance of the Israeli regime in the Persian Gulf region will not result in anything other than sedition and creating insecurity.,IRGC Navy | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Persian Gulf | LOCATION,IRGC Navy | ORGANIZATION_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Persian Gulf | LOCATION,FALSE
The two navy chiefs discussed expanding bilateral cooperation and called for developing relations and cooperation in various military fields.,,,FALSE
"“Oman is considered a friend and brother of the Islamic Republic of Iran in the Persian Gulf region and enjoys a special reputation among our neighbors,” Tangsiri said.",Oman | LOCATION; Islamic Republic of Iran | LOCATION; Persian Gulf | LOCATION; Tangsiri | PERSON_NAME,Oman | LOCATION; Islamic Republic of Iran | LOCATION; Persian Gulf | LOCATION; Tangsiri | PERSON_NAME,FALSE
"The commander of the IRGC Navy stated that the relations between the two countries and two nations are strong and based on the principle of brotherhood, adding that both Tehran and Muscat adhere to the principle of brotherhood and help each other in difficult times.",IRGC Navy | ORGANIZATION_NAME; Tehran | LOCATION; Muscat | LOCATION,IRGC Navy | ORGANIZATION_NAME; Tehran | LOCATION; Muscat | LOCATION,FALSE
"“We have a particular respect for all neighboring countries. We are brothers and we should not allow a regime that is aggressor, child killer and seditious to be present in this region,” Tangsiri reiterated.",Tangsiri | PERSON_NAME,Tangsiri | PERSON_NAME,FALSE
"He then pointed out that it is expected from all Islamic countries of the Persian Gulf region to raise the level of political, economic, and security interactions and communications to the highest level by strengthening and maintaining Islamic unity and regional synergy.",Islamic | NATIONALITY_RELIGION_POLITICAL; Persian Gulf | LOCATION,Islamic | NATIONALITY_RELIGION_POLITICAL; Persian Gulf | LOCATION,FALSE
"The rear admiral added, “We should benefit from the great blessing of the sea and use its rich resources in the best possible way.”",,,FALSE
Tangsiri underlined that Iran believes that the presence of foreign forces will not help the security of the region and instead create an atmosphere of insecurity.,Tangsiri | PERSON_NAME; Iran | LOCATION,Tangsiri | PERSON_NAME; Iran | LOCATION,FALSE
"“We believe that the countries of the Persian Gulf region have the necessary capacity and power to maintain the security of this sensitive region themselves,” the IRGC navy commander reiterated.",Persian Gulf region | LOCATION; IRGC | ORGANIZATION_NAME,Persian Gulf region | LOCATION; IRGC | ORGANIZATION_NAME,FALSE
"Referring to Tehran's resolute support for all the oppressed in the world, especially the oppressed people of Palestine, the commander noted that the Israeli regime is the number one enemy of Muslims and it was created based on oppression and aggression.",Tehran | LOCATION; Palestine | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL; Muslims | NATIONALITY_RELIGION_POLITICAL,Tehran | LOCATION; Palestine | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL; Muslims | NATIONALITY_RELIGION_POLITICAL,FALSE
"The Tel Aviv regime does not spare any kind of oppression for its survival, he added, saying that it will soon be perished.",Tel Aviv | LOCATION,Tel Aviv | LOCATION,FALSE
"“We are on the belief that an entrance of the Israeli regime in the Persian Gulf region will not result in anything other than sedition and insecurity,” he underscored.",Israeli | NATIONALITY_RELIGION_POLITICAL; Persian Gulf region | LOCATION,Israeli | NATIONALITY_RELIGION_POLITICAL; Persian Gulf region | LOCATION,FALSE
"Admiral Tangsiri stated that cooperation between the navies of the two countries is on the rise, adding that holding joint exercises, maritime rescue exercises and joint drills in combating insecurity, smuggling of goods, livestock, fuel, narcotics, terrorism and piracy can be expanded with more depth and variety.",Tangsiri | PERSON_NAME,Tangsiri | PERSON_NAME,FALSE
"Now, commander added, the Iranian military has been able to designed and build the weapons it needs with the help of knowledge-based companies.",Iranian | NATIONALITY_RELIGION_POLITICAL,Iranian | NATIONALITY_RELIGION_POLITICAL,FALSE
"“It is very important to mention that the power of defense industries of the Islamic Republic of Iran is native and indigenous,” Tangsiri reiterated.",Islamic Republic of Iran | LOCATION; Tangsiri | PERSON_NAME,Islamic Republic of Iran | LOCATION; Tangsiri | PERSON_NAME,FALSE
"He then went on to note that the IRGC Navy has the ability to build, repair and maintain all types of light and heavy vessels in accordance with modern technology and reminded that currently the vessels produced by his force are carrying out missions in territorial and international waters without foreign technical support.",IRGC Navy | ORGANIZATION_NAME,IRGC Navy | ORGANIZATION_NAME,FALSE
"In the meeting, the commander of the IRGC Navy announced Tehran's readiness to transfer technical knowledge, especially in maritime field if required by Oman through the exchange of delegations and the holding of training courses.",IRGC Navy | ORGANIZATION_NAME; Tehran | LOCATION; Oman | LOCATION,IRGC Navy | ORGANIZATION_NAME; Tehran | LOCATION; Oman | LOCATION,FALSE
"When Interior Minister Ayelet Shaked announced that she would not grant Israeli citizenship to convicted sex offender Rabbi Baruch Lanner two weeks ago, there was celebration and relief among the women living in Israel who say they were victims of his harassment in the United States.",Ayelet Shaked | PERSON_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Rabbi Baruch Lanner | PERSON_NAME; Israel | LOCATION; United States | LOCATION,Ayelet Shaked | PERSON_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Rabbi Baruch Lanner | PERSON_NAME; Israel | LOCATION; United States | LOCATION,FALSE
"Yet the cheering was tempered by a sobering reality. While Shaked's statement that she had “no intention” of allowing Lanner – a former educator and leader in the National Conference of Synagogue Youth (NCSY) – to immigrate was an important statement, on a practical level it changed nothing.",Shaked | PERSON_NAME; Lanner | PERSON_NAME; National Conference of Synagogue Youth | ORGANIZATION_NAME; NCSY | ORGANIZATION_NAME,Shaked | PERSON_NAME; Lanner | PERSON_NAME; National Conference of Synagogue Youth | ORGANIZATION_NAME; NCSY | ORGANIZATION_NAME,FALSE
"Lanner, who was convicted in 2002 of abusing a student as principal of a yeshiva high school in the 1990s, still holds a residency visa that allows him to remain in Israel for a year. A new interior minister – and with the November election looming, change is a near-certainty – could extend that visa repeatedly, or even reverse Shaked's decision and grant Lanner citizenship.",Lanner | PERSON_NAME; 2002 | DATE; yeshiva | NATIONALITY_RELIGION_POLITICAL; 1990 | DATE; Israel | LOCATION; November | DATE; Shaked | PERSON_NAME,Lanner | PERSON_NAME; 2002 | DATE; yeshiva | NATIONALITY_RELIGION_POLITICAL; 1990 | DATE; Israel | LOCATION; November | DATE; Shaked | PERSON_NAME,FALSE
"“Withholding citizenship is an important statement but it is mostly symbolic, since Lanner will still be able to live and work here. Without a registry of sexual predators in Israel, how will people know to be careful around him?” asks Marcie Lenk, who lives in Israel. Her history with Lanner dates back to her teenage years, when she was a leader in the National Conference of Synagogue Youth. She complained about him to senior rabbis in the Orthodox movement, but was ignored. She went on to testify against Lanner in a 1989 religious court proceeding, and was a source in the breakthrough New York Jewish Week exposé about him 11 years later.",Lanner | PERSON_NAME; Israel | LOCATION; Marcie Lenk | PERSON_NAME; National Conference of Synagogue Youth | ORGANIZATION_NAME; Orthodox | NATIONALITY_RELIGION_POLITICAL; 1989 | DATE; New York Jewish Week | ORGANIZATION_NAME,Lanner | PERSON_NAME; Israel | LOCATION; Marcie Lenk | PERSON_NAME; National Conference of Synagogue Youth | ORGANIZATION_NAME; Orthodox | NATIONALITY_RELIGION_POLITICAL; 1989 | DATE; New York Jewish Week | BRAND,TRUE
"Also, Lenk notes, in Israel, Lanner is “safely out of the jurisdiction of the class action suit that has been filed against him and the Orthodox Union. He has never admitted any wrongdoing at all,” she charges.",Lenk | PERSON_NAME; Israel | LOCATION; Lanner | PERSON_NAME; Orthodox Union | ORGANIZATION_NAME,Lenk | PERSON_NAME; Israel | LOCATION; Lanner | PERSON_NAME; Orthodox Union | ORGANIZATION_NAME,FALSE
"Even more significantly, according to Shana Aaronson, who was involved in trying to prevent Lanner's immigration since 2019 in her role as executive director at Magen for Jewish Communities, he “is only the tip of the iceberg.”",Shana Aaronson | PERSON_NAME; Lanner | PERSON_NAME; 2019 | DATE; Magen for Jewish Communities | ORGANIZATION_NAME,Shana Aaronson | PERSON_NAME; Lanner | PERSON_NAME; 2019 | DATE; Magen for Jewish Communities | ORGANIZATION_NAME,FALSE
"Aaronson believes there are about 100 rabbis, teachers and other figures who have been accused, charged or convicted of sexual abuse overseas and subsequently found refuge in Israel. When she began her advocacy work in this area and first compiled a list of such offenders in 2015, there were 30 – “and I thought that was an astronomical number,” she says.",Aaronson | PERSON_NAME; Israel | LOCATION; 2015 | DATE,Aaronson | PERSON_NAME; Israel | LOCATION; 2015 | DATE,FALSE
"The stories behind the individuals currently on her list vary. Some left a country as accusations piled up in one or more Jewish communities ; some were charged with crimes ; and others, like Lanner, were convicted of sex crimes abroad and even served time in prison.",Jewish | NATIONALITY_RELIGION_POLITICAL; Lanner | PERSON_NAME,Jewish | NATIONALITY_RELIGION_POLITICAL; Lanner | PERSON_NAME,FALSE
"Even if they are convicted offenders, there is no mechanism in place in Israel to monitor their movements or alert the public.",Israel | LOCATION,Israel | LOCATION,FALSE
"Lanner's high profile and long history made it relatively easier to quickly galvanize support in comparison to other cases, Aaronson says. There are numerous immigrants to Israel who were affected by his behavior.",Lanner | PERSON_NAME; Aaronson | PERSON_NAME; Israel | LOCATION,Lanner | PERSON_NAME; Aaronson | PERSON_NAME; Israel | LOCATION,FALSE
This group helped pressure Shaked to take action. There are also Israelis among those party to the current civil court actions against Lanner (and the organizations who employed him) that are pending in New Jersey.,Shaked | PERSON_NAME; Israelis | NATIONALITY_RELIGION_POLITICAL; Lanner | PERSON_NAME; New Jersey | LOCATION,Shaked | PERSON_NAME; Israelis | NATIONALITY_RELIGION_POLITICAL; Lanner | PERSON_NAME; New Jersey | LOCATION,FALSE
"However, she says, addressing less public cases with fewer interested parties in Israel can be more challenging.",Israel | LOCATION,Israel | LOCATION,FALSE
"Awareness of this issue received a boost over recent years due to the case of Israeli-Australian citizen Malka Leifer – the headmistress of an ultra-Orthodox girls' school in Melbourne who fled to Israel in 2008 after allegations surfaced of her sexually abusing female students. She was ultimately extradited in January 2021, after an extended legal battle, and faces trial in Victoria on 70 charges of child sex abuse.",Israeli | NATIONALITY_RELIGION_POLITICAL; Australian | NATIONALITY_RELIGION_POLITICAL; Malka Leifer | PERSON_NAME; Orthodox | NATIONALITY_RELIGION_POLITICAL; Melbourne | LOCATION; Israel | LOCATION; 2008 | DATE; January 2021 | DATE; Victoria | LOCATION,Israeli | NATIONALITY_RELIGION_POLITICAL; Australian | NATIONALITY_RELIGION_POLITICAL; Malka Leifer | PERSON_NAME; Orthodox | NATIONALITY_RELIGION_POLITICAL; Melbourne | LOCATION; Israel | LOCATION; 2008 | DATE; January 2021 | DATE; Victoria | LOCATION,FALSE
"There is more room for maneuver when, as in Lanner's case, an offender does not have Israeli citizenship and attempts to make aliyah. Under the Law of Return, potential olim deemed a danger to Israeli society, security or the Jewish people can be denied the right to immigrate. Problematically, however, Israeli law does not specifically define what “danger” means.",Lanner | PERSON_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Law of Return | MISCELLANEOUS; Jewish | NATIONALITY_RELIGION_POLITICAL,Lanner | PERSON_NAME; Israeli | NATIONALITY_RELIGION_POLITICAL; Law of Return | MISCELLANEOUS; Jewish | NATIONALITY_RELIGION_POLITICAL,FALSE
"Magen, which began as a local organization founded by U. S. immigrants to identify and fight child abuse in the Israeli community of Beit Shemesh, has grown and expanded its mission since its launch a decade ago. It maintains a database of over 1,500 alleged and convicted abusers, and works with in-house and private investigators, Israeli police units, law enforcement in North America, South America and Europe, in order to prevent fugitives fleeing other jurisdictions from entering Israel and, when applicable, encouraging their extradition.",Magen | PERSON_NAME; U. S. | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL; Beit Shemesh | PERSON_NAME; North America | LOCATION; South America | LOCATION; Europe | LOCATION; Israel | LOCATION,Magen | PERSON_NAME; U. S. | LOCATION; Israeli | NATIONALITY_RELIGION_POLITICAL; Beit Shemesh | PERSON_NAME; North America | LOCATION; South America | LOCATION; Europe | LOCATION; Israel | LOCATION,FALSE
"It is invariably a difficult task. “There are some prosecutors in the United States who don 't even bother requesting extradition from Israel for sex abuse offenders because, in their experience, Israel won' t do it,” Aaronson says.",United States | LOCATION; Israel | LOCATION; Aaronson | PERSON_NAME,United States | LOCATION; Israel | LOCATION; Aaronson | PERSON_NAME,FALSE
"Where removing the offender from Israel is impossible, Aaronson says they do as much as possible to raise awareness – alerting the communities where the alleged offenders are living and working in Israel.",Israel | LOCATION; Aaronson | PERSON_NAME,Israel | LOCATION; Aaronson | PERSON_NAME,FALSE
"A recent case, she says, involved an educator in the United States who had left behind a trail of victims.",United States | LOCATION,United States | LOCATION,FALSE
"“Horrifyingly,” she recounts, he managed to find a job as the principal of an elementary Jewish school in the ultra-Orthodox community. Ultimately, she says, “We put out the word about him and enough people called the school so they ended up letting him go.”",Jewish | NATIONALITY_RELIGION_POLITICAL; Orthodox | NATIONALITY_RELIGION_POLITICAL,Jewish | NATIONALITY_RELIGION_POLITICAL; Orthodox | NATIONALITY_RELIGION_POLITICAL,FALSE
"In order to do so, however, organizations such as Magen rely on sources tipping them off about where an offender is living.",Magen | PERSON_NAME,Magen | PERSON_NAME,FALSE
A year is a very long time',,,FALSE
"Haaretz spoke with several women living in Israel who say they were abused by Lanner to varying degrees. Apart from Lenk, the women asked not to be identified by name.",Haaretz | ORGANIZATION_NAME; Israel | LOCATION; Lanner | ORGANIZATION_NAME; Lenk | PERSON_NAME,Haaretz | ORGANIZATION_NAME; Israel | LOCATION; Lanner | ORGANIZATION_NAME; Lenk | PERSON_NAME,FALSE
"Over the years, the women, who knew each other from schools and youth movements in the United States, had spoken of their experiences with Lanner to each other and followed his case. Some were sources in the 2000 Jewish Week article. Before he was exposed, when he was still a high-ranking educator in the Orthodox Union and at NCSY, some attempted to keep him out of their communities in Israel after it was announced he would be running summer programs for American youth there.",United States | LOCATION; Lanner | PERSON_NAME; 2000 | DATE; Jewish Week | ORGANIZATION_NAME; Orthodox Union | ORGANIZATION_NAME; NCSY | ORGANIZATION_NAME; Israel | LOCATION; American | NATIONALITY_RELIGION_POLITICAL,United States | LOCATION; Lanner | PERSON_NAME; 2000 | DATE; Jewish Week | ORGANIZATION_NAME; Orthodox Union | ORGANIZATION_NAME; NCSY | ORGANIZATION_NAME; Israel | LOCATION; American | NATIONALITY_RELIGION_POLITICAL,FALSE
"Following his 2002 conviction and subsequent jail sentence, they viewed him as a closed chapter in their lives. Yet the revelation in Haaretz on July 7 that he was living in Israel, had been granted temporary residency status and intended to remain permanently took them by surprise.",2002 | DATE; Haaretz | ORGANIZATION_NAME; July 7 | DATE; Israel | LOCATION,2002 | DATE; Haaretz | ORGANIZATION_NAME; July 7 | DATE; Israel | LOCATION,FALSE
"One of them told Haaretz following Shaked's decision that Lanner's continued residency will require constant vigilance on the part of the public. "" The problem is not solved,” she warned. “Over the past four decades, Lanner has proven himself to be resourceful and relentless in matters of self-preservation. I ' m certain he will spend much time, energy and resources in finding ways to stay here longer.”",Haaretz | ORGANIZATION_NAME; Shaked | PERSON_NAME; Lanner | PERSON_NAME,Haaretz | ORGANIZATION_NAME; Shaked | PERSON_NAME; Lanner | PERSON_NAME,FALSE
"She adds: “Even if Lanner were to be successfully evicted, the problem of the lacuna in aliyah policies remains. This lacuna has been used by many offenders before him and needs urgently to be closed up, lest we become even more of a haven for sexual offenders. We desperately need a sex registry, comparable to the U. S. ' Megan's law. It is untenable to allow sexual criminals – especially those who, like Lanner, have expressed no remorse – to settle in freely to unsuspecting communities.”",Lanner | PERSON_NAME; U. S. | LOCATION; Megan | PERSON_NAME,Lanner | PERSON_NAME; U. S. | LOCATION; Megan's law | MISCELLANEOUS,TRUE
